trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-121.3628006036341,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-170.80922878069535,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-199.89123919200804,"{0: 19, 1: 8, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-32.309684000868906,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-198.18681512002348,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-37.35844572780841,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-142.10703268507413,"{0: 27, 1: 1, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-122.34604636640503,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-139.5409132072437,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-60.24733146950903,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-79.47113464916283,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-69.26096086691443,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,12,1.6910068110317478,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-8.408010821048071,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,8.947702534012866,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,1,-8.985543821582269,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,21.15346273520116,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-63.16072264183771,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,-24.523772664509167,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,23.967728232411368,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-27.87473336125671,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-23.209867036140256,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,26.827053150468664,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,33.75835167772988,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,36.83533577365205,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-26.25898819441201,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,7.29272782969538,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,-62.96508843898954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-15.074345979737098,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-14.362132635658124,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
