trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 1}",25,0,-258.1612364958311,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 1, 'e': 1}",25,0,-280.71444058463874,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 1, 'e': 1}",25,0,-323.99195412402514,"{0: 10, 1: 1, 2: 12, 3: 1, 4: 1}",0
4,False,"{'a': 1, 'e': 1}",20,0,-228.600475455015,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 1, 'e': 1}",30,0,-284.4264975375706,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 1, 'e': 1}",20,0,-174.75912761472154,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 1, 'e': 1}",20,0,-87.41754858588793,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 1, 'e': 1}",20,0,-171.58186323834357,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 1, 'e': 1}",25,0,-146.4749931558958,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 1, 'e': 1.0}",25,0,-154.1705529549963,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 1, 'e': 0.9090909090909091}",20,0,-129.79937890508663,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 1, 'e': 0.8333333333333334}",20,0,-149.45273248220792,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 1.0, 'e': 0.7692307692307693}",30,0,-328.9574439759463,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
14,False,"{'a': 0.9285714285714286, 'e': 0.7142857142857143}",20,0,-216.06710522679137,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.8666666666666667, 'e': 0.6666666666666666}",30,0,-175.46889785131225,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.8125, 'e': 0.625}",30,0,-389.6919195967878,"{0: 16, 1: 2, 2: 4, 3: 6, 4: 2}",0
17,False,"{'a': 0.7647058823529411, 'e': 0.5882352941176471}",25,5,-104.50706854817552,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
18,False,"{'a': 0.7222222222222222, 'e': 0.5555555555555556}",20,0,-231.18978342990596,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.6842105263157895, 'e': 0.5263157894736842}",25,0,49.42275567951719,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.65, 'e': 0.5}",30,12,-133.69530201988425,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
21,False,"{'a': 0.6190476190476191, 'e': 0.47619047619047616}",20,0,-131.81875310632333,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.5909090909090909, 'e': 0.45454545454545453}",20,13,28.11456476497245,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5652173913043478, 'e': 0.43478260869565216}",20,2,-75.57451275815018,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5416666666666666, 'e': 0.4166666666666667}",20,6,-21.55389856336354,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.52, 'e': 0.4}",20,9,7.328066465788002,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.38461538461538464}",25,1,-102.58714377287582,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
27,False,"{'a': 0.48148148148148145, 'e': 0.37037037037037035}",20,14,-6.242020088384072,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.4642857142857143, 'e': 0.35714285714285715}",25,12,-60.80711267518116,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.4482758620689655, 'e': 0.3448275862068966}",20,2,-181.3210256101088,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 2}",1
30,False,"{'a': 0.43333333333333335, 'e': 0.3333333333333333}",20,0,-89.4238166094815,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.41935483870967744, 'e': 0.3225806451612903}",35,0,-193.9291064185548,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.40625, 'e': 0.3125}",30,0,-256.42254431441097,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
33,False,"{'a': 0.3939393939393939, 'e': 0.30303030303030304}",20,0,-132.5535052350312,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
34,False,"{'a': 0.38235294117647056, 'e': 0.29411764705882354}",20,7,-27.51030943626241,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.37142857142857144, 'e': 0.2857142857142857}",25,13,27.274500729854452,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.3611111111111111, 'e': 0.2777777777777778}",20,0,-122.94057460569749,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
