trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-237.02631844334067,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.30970336786308,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-133.3222822996878,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.27625291130592,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.33275115712064,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.3193524907365,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.84663155910967,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.10193384389075,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.49821688756867,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.25717815157824,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,5,-84.71949297462322,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.86144106678688,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.99871010872111,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.18597868141127,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.5091026178674,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.25847771551358,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.36059625064574,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.408920557236836,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.73082278627464,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.2276833897911,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-224.88153482743718,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.6586322733083,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.09810221403976,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.9443488874467,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,21,-1.0009932876147651,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.8924613176439,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-169.00657364077665,"{0: 19, 1: 5, 2: 8, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.47578273145632,"{0: 15, 1: 5, 2: 1, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.32272378250069,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,2,-149.52712460756803,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 3}",1
